,rank,player,age,team_id,votes_first,points_won,points_max,award_share,g,mp_per_g,pts_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,fg_pct,fg3_pct,ft_pct,ws,ws_per_48,year,player_url,player_img
0,1,Alvin Robertson,23,SAS,30.0,30.0,78,0.385,82,35.1,17.0,6.3,5.5,3.7,0.5,.514,.276,.795,8.6,.143,1986,https://www.basketball-reference.com//players/r/roberal01.html,https://www.basketball-reference.com/req/202106291/images/players/roberal01.jpg
1,2,Charles Barkley,22,PHI,18.5,18.5,78,0.237,80,36.9,20.0,12.8,3.9,2.2,1.6,.572,.227,.685,10.8,.176,1986,https://www.basketball-reference.com//players/b/barklch01.html,https://www.basketball-reference.com/req/202106291/images/players/barklch01.jpg
2,3,Kevin Willis,23,ATL,8.0,8.0,78,0.103,82,28.0,12.3,8.6,0.5,0.8,0.5,.517,.000,.654,4.7,.099,1986,https://www.basketball-reference.com//players/w/willike02.html,https://www.basketball-reference.com/req/202106291/images/players/willike02.jpg
3,4,Dominique Wilkins,26,ATL,6.5,6.5,78,0.083,78,39.1,30.3,7.9,2.6,1.8,0.6,.468,.186,.818,10.8,.170,1986,https://www.basketball-reference.com//players/w/wilkido01.html,https://www.basketball-reference.com/req/202106291/images/players/wilkido01.jpg
4,1,Kevin Duckworth,23,POR,33.0,33.0,80,0.413,78,28.5,15.8,7.4,0.8,0.4,0.4,.496,NO DATA,.770,5.2,.112,1988,https://www.basketball-reference.com//players/d/duckwke01.html,https://www.basketball-reference.com/req/202106291/images/players/duckwke01.jpg
5,2,John Stockton,25,UTA,15.0,15.0,80,0.188,82,34.7,14.7,2.9,13.8,3.0,0.2,.574,.358,.840,14.1,.238,1988,https://www.basketball-reference.com//players/s/stockjo01.html,https://www.basketball-reference.com/req/202106291/images/players/stockjo01.jpg
6,3,Mark Price,23,CLE,11.0,11.0,80,0.138,80,32.8,16.0,2.3,6.0,1.2,0.2,.506,.486,.877,7.8,.143,1988,https://www.basketball-reference.com//players/p/pricema01.html,https://www.basketball-reference.com/req/202106291/images/players/pricema01.jpg
7,4,Michael Adams,25,DEN,7.0,7.0,80,0.088,82,33.9,13.9,2.7,6.1,2.0,0.2,.449,.367,.834,7.5,.130,1988,https://www.basketball-reference.com//players/a/adamsmi01.html,https://www.basketball-reference.com/req/202106291/images/players/adamsmi01.jpg
8,5,Jerome Kersey,25,POR,5.0,5.0,80,0.063,79,36.6,19.2,8.3,3.1,1.6,0.8,.499,.200,.735,8.6,.144,1988,https://www.basketball-reference.com//players/k/kerseje01.html,https://www.basketball-reference.com/req/202106291/images/players/kerseje01.jpg
9,6T,Randy Breuer,27,MIL,3.0,3.0,80,0.038,81,27.9,12.0,6.8,1.3,0.6,1.3,.495,NO DATA,.657,5.1,.109,1988,https://www.basketball-reference.com//players/b/breuera01.html,https://www.basketball-reference.com/req/202106291/images/players/breuera01.jpg
10,6T,Frank Brickowski,28,SAS,3.0,3.0,80,0.038,70,31.8,16.0,6.9,3.8,1.1,0.5,.528,.200,.768,4.1,.088,1988,https://www.basketball-reference.com//players/b/brickfr01.html,https://www.basketball-reference.com/req/202106291/images/players/brickfr01.jpg
11,8T,John Battle,25,ATL,1.0,1.0,80,0.013,67,18.3,10.6,1.7,2.4,0.5,0.1,.454,.390,.750,2.3,.092,1988,https://www.basketball-reference.com//players/b/battljo01.html,https://www.basketball-reference.com/req/202106291/images/players/battljo01.jpg
12,8T,Byron Scott,26,LAL,1.0,1.0,80,0.013,81,37.6,21.7,4.1,4.1,1.9,0.3,.527,.346,.858,10.7,.168,1988,https://www.basketball-reference.com//players/s/scottby01.html,https://www.basketball-reference.com/req/202106291/images/players/scottby01.jpg
13,8T,Roy Tarpley,23,DAL,1.0,1.0,80,0.013,81,28.5,13.5,11.8,1.1,1.3,1.1,.500,.000,.740,7.8,.163,1988,https://www.basketball-reference.com//players/t/tarplro01.html,https://www.basketball-reference.com/req/202106291/images/players/tarplro01.jpg
14,1,Kevin Johnson,22,PHO,48.0,48.0,85,0.565,81,39.2,20.4,4.2,12.2,1.7,0.3,.505,.091,.882,12.2,.184,1989,https://www.basketball-reference.com//players/j/johnske02.html,https://www.basketball-reference.com/req/202106291/images/players/johnske02.jpg
15,2,Reggie Lewis,23,BOS,14.0,14.0,85,0.165,81,32.8,18.5,4.7,2.7,1.5,0.9,.486,.136,.787,6.9,.124,1989,https://www.basketball-reference.com//players/l/lewisre01.html,https://www.basketball-reference.com/req/202106291/images/players/lewisre01.jpg
16,3,Chris Mullin,25,GSW,12.0,12.0,85,0.141,82,37.7,26.5,5.9,5.1,2.1,0.5,.509,.230,.892,10.6,.165,1989,https://www.basketball-reference.com//players/m/mullich01.html,https://www.basketball-reference.com/req/202106291/images/players/mullich01.jpg
17,4T,Ron Anderson,30,PHI,2.0,2.0,85,0.024,82,31.9,16.2,5.0,1.7,0.9,0.3,.491,.182,.856,4.4,.081,1989,https://www.basketball-reference.com//players/a/anderro01.html,https://www.basketball-reference.com/req/202106291/images/players/anderro01.jpg
18,4T,Ken Norman,24,LAC,2.0,2.0,85,0.024,80,37.8,18.1,8.3,3.5,1.3,0.8,.502,.190,.630,4.0,.064,1989,https://www.basketball-reference.com//players/n/normake01.html,https://www.basketball-reference.com/req/202106291/images/players/normake01.jpg
19,4T,Kelly Tripucka,29,CHH,2.0,2.0,85,0.024,71,32.4,22.6,3.8,3.2,1.2,0.2,.467,.357,.866,3.3,.069,1989,https://www.basketball-reference.com//players/t/tripuke01.html,https://www.basketball-reference.com/req/202106291/images/players/tripuke01.jpg
20,7T,Patrick Ewing,26,NYK,1.0,1.0,85,0.012,80,36.2,22.7,9.3,2.4,1.5,3.5,.567,.000,.746,10.9,.181,1989,https://www.basketball-reference.com//players/e/ewingpa01.html,https://www.basketball-reference.com/req/202106291/images/players/ewingpa01.jpg
21,7T,Larry Krystkowiak,24,MIL,1.0,1.0,85,0.012,80,30.9,12.7,7.6,1.3,1.2,0.1,.473,.333,.823,6.3,.122,1989,https://www.basketball-reference.com//players/k/krystla01.html,https://www.basketball-reference.com/req/202106291/images/players/krystla01.jpg
22,7T,Derrick McKey,22,SEA,1.0,1.0,85,0.012,82,34.2,15.9,5.7,2.7,1.3,0.9,.502,.337,.803,7.4,.126,1989,https://www.basketball-reference.com//players/m/mckeyde01.html,https://www.basketball-reference.com/req/202106291/images/players/mckeyde01.jpg
23,7T,Scottie Pippen,23,CHI,1.0,1.0,85,0.012,73,33.1,14.4,6.1,3.5,1.9,0.8,.476,.273,.668,4.0,.080,1989,https://www.basketball-reference.com//players/p/pippesc01.html,https://www.basketball-reference.com/req/202106291/images/players/pippesc01.jpg
24,7T,Dennis Rodman,27,DET,1.0,1.0,85,0.012,82,26.9,9.0,9.4,1.2,0.7,0.9,.595,.231,.626,8.1,.175,1989,https://www.basketball-reference.com//players/r/rodmade01.html,https://www.basketball-reference.com/req/202106291/images/players/rodmade01.jpg
25,1,Rony Seikaly,24,MIA,37.0,37.0,92,0.402,74,32.6,16.6,10.4,1.1,1.1,1.7,.502,.000,.594,3.2,.063,1990,https://www.basketball-reference.com//players/s/seikaro01.html,https://www.basketball-reference.com/req/202106291/images/players/seikaro01.jpg
26,2,Reggie Miller,24,IND,30.0,30.0,92,0.326,82,38.9,24.6,3.6,3.8,1.3,0.2,.514,.414,.868,12.1,.182,1990,https://www.basketball-reference.com//players/m/millere01.html,https://www.basketball-reference.com/req/202106291/images/players/millere01.jpg
27,3,Tony Campbell,27,MIN,13.0,13.0,92,0.141,82,38.6,23.2,5.5,2.6,1.4,0.4,.457,.167,.787,5.3,.081,1990,https://www.basketball-reference.com//players/c/campbto01.html,https://www.basketball-reference.com/req/202106291/images/players/campbto01.jpg
28,4,Jeff Hornacek,26,PHO,4.0,4.0,92,0.043,67,34.0,17.6,4.7,5.0,1.7,0.2,.536,.408,.856,8.7,.182,1990,https://www.basketball-reference.com//players/h/hornaje01.html,https://www.basketball-reference.com/req/202106291/images/players/hornaje01.jpg
29,5,Hersey Hawkins,23,PHI,3.0,3.0,92,0.033,82,34.8,18.5,3.7,3.2,1.6,0.3,.460,.420,.888,8.0,.135,1990,https://www.basketball-reference.com//players/h/hawkihe01.html,https://www.basketball-reference.com/req/202106291/images/players/hawkihe01.jpg
30,6T,Scottie Pippen,24,CHI,1.0,1.0,92,0.011,82,38.4,16.5,6.7,5.4,2.6,1.2,.489,.250,.675,5.7,.087,1990,https://www.basketball-reference.com//players/p/pippesc01.html,https://www.basketball-reference.com/req/202106291/images/players/pippesc01.jpg
31,6T,Detlef Schrempf,27,IND,1.0,1.0,92,0.011,78,33.0,16.2,7.9,3.2,0.8,0.2,.516,.354,.820,8.1,.151,1990,https://www.basketball-reference.com//players/s/schrede01.html,https://www.basketball-reference.com/req/202106291/images/players/schrede01.jpg
32,6T,Derek Smith,28,PHI,1.0,1.0,92,0.011,75,18.7,8.9,2.3,1.5,0.5,0.3,.508,.444,.699,2.9,.098,1990,https://www.basketball-reference.com//players/s/smithde02.html,https://www.basketball-reference.com/req/202106291/images/players/smithde02.jpg
33,6T,Roy Tarpley,25,DAL,1.0,1.0,92,0.011,45,36.6,16.8,13.1,1.5,1.8,1.6,.451,.000,.756,3.5,.103,1990,https://www.basketball-reference.com//players/t/tarplro01.html,https://www.basketball-reference.com/req/202106291/images/players/tarplro01.jpg
34,6T,Mark West,29,PHO,1.0,1.0,92,0.011,82,29.3,10.5,8.9,0.5,0.4,2.2,.625,NO DATA,.691,8.2,.163,1990,https://www.basketball-reference.com//players/w/westma01.html,https://www.basketball-reference.com/req/202106291/images/players/westma01.jpg
35,1,Scott Skiles,26,ORL,25.0,25.0,96,0.260,79,34.4,17.2,3.4,8.4,1.1,0.1,.445,.408,.902,7.0,.124,1991,https://www.basketball-reference.com//players/s/skilesc01.html,https://www.basketball-reference.com/req/202106291/images/players/skilesc01.jpg
36,2,Kevin Gamble,25,BOS,21.0,21.0,96,0.219,82,33.0,15.6,3.3,3.1,1.2,0.4,.587,.000,.815,8.3,.147,1991,https://www.basketball-reference.com//players/g/gamblke01.html,https://www.basketball-reference.com/req/202106291/images/players/gamblke01.jpg
37,3,Kenny Smith,25,HOU,20.0,20.0,96,0.208,78,34.6,17.7,2.1,7.1,1.4,0.1,.520,.363,.844,9.0,.161,1991,https://www.basketball-reference.com//players/s/smithke01.html,https://www.basketball-reference.com/req/202106291/images/players/smithke01.jpg
38,4,Harvey Grant,25,WSB,12.0,12.0,96,0.125,77,36.9,18.2,7.2,2.6,1.2,0.8,.498,.133,.743,6.7,.112,1991,https://www.basketball-reference.com//players/g/grantha01.html,https://www.basketball-reference.com/req/202106291/images/players/grantha01.jpg
39,5,Tim Hardaway,24,GSW,6.0,6.0,96,0.063,82,39.2,22.9,4.0,9.7,2.6,0.1,.476,.385,.803,9.9,.148,1991,https://www.basketball-reference.com//players/h/hardati01.html,https://www.basketball-reference.com/req/202106291/images/players/hardati01.jpg
40,6,Sean Elliott,22,SAS,3.0,3.0,96,0.031,82,37.1,15.9,5.6,2.9,0.8,0.4,.490,.313,.808,8.8,.138,1991,https://www.basketball-reference.com//players/e/elliose01.html,https://www.basketball-reference.com/req/202106291/images/players/elliose01.jpg
41,7,Shawn Kemp,21,SEA,2.0,2.0,96,0.021,81,30.1,15.0,8.4,1.8,1.0,1.5,.508,.167,.661,6.1,.121,1991,https://www.basketball-reference.com//players/k/kempsh01.html,https://www.basketball-reference.com/req/202106291/images/players/kempsh01.jpg
42,8T,Michael Adams,28,DEN,1.0,1.0,96,0.010,66,35.5,26.5,3.9,10.5,2.2,0.1,.394,.296,.879,6.3,.128,1991,https://www.basketball-reference.com//players/a/adamsmi01.html,https://www.basketball-reference.com/req/202106291/images/players/adamsmi01.jpg
43,8T,Rex Chapman,23,CHH,1.0,1.0,96,0.010,70,30.0,15.7,2.7,3.6,1.0,0.2,.445,.324,.830,3.0,.069,1991,https://www.basketball-reference.com//players/c/chapmre01.html,https://www.basketball-reference.com/req/202106291/images/players/chapmre01.jpg
44,8T,Derek Harper,29,DAL,1.0,1.0,96,0.010,77,37.4,19.7,3.0,7.1,1.9,0.2,.467,.362,.731,7.6,.127,1991,https://www.basketball-reference.com//players/h/harpede01.html,https://www.basketball-reference.com/req/202106291/images/players/harpede01.jpg
45,8T,Bernard King,34,WSB,1.0,1.0,96,0.010,64,37.5,28.4,5.0,4.6,0.9,0.3,.472,.216,.790,3.5,.070,1991,https://www.basketball-reference.com//players/k/kingbe01.html,https://www.basketball-reference.com/req/202106291/images/players/kingbe01.jpg
46,8T,Scottie Pippen,25,CHI,1.0,1.0,96,0.010,82,36.8,17.8,7.3,6.2,2.4,1.1,.520,.309,.706,11.2,.179,1991,https://www.basketball-reference.com//players/p/pippesc01.html,https://www.basketball-reference.com/req/202106291/images/players/pippesc01.jpg
47,8T,Larry Smith,33,HOU,1.0,1.0,96,0.010,81,23.7,3.3,8.8,1.1,1.0,0.3,.487,NO DATA,.240,4.4,.109,1991,https://www.basketball-reference.com//players/s/smithla01.html,https://www.basketball-reference.com/req/202106291/images/players/smithla01.jpg
48,8T,Spud Webb,27,ATL,1.0,1.0,96,0.010,75,29.3,13.4,2.3,5.6,1.6,0.1,.447,.321,.868,5.4,.118,1991,https://www.basketball-reference.com//players/w/webbsp01.html,https://www.basketball-reference.com/req/202106291/images/players/webbsp01.jpg
49,1,Pervis Ellison,24,WSB,40.0,40.0,96,0.417,66,38.0,20.0,11.2,2.9,0.9,2.7,.539,.333,.728,6.9,.131,1992,https://www.basketball-reference.com//players/e/ellispe01.html,https://www.basketball-reference.com/req/202106291/images/players/ellispe01.jpg
50,2,Dražen Petrović,27,NJN,22.0,22.0,96,0.229,82,36.9,20.6,3.1,3.1,1.3,0.1,.508,.444,.808,7.7,.122,1992,https://www.basketball-reference.com//players/p/petrodr01.html,https://www.basketball-reference.com/req/202106291/images/players/petrodr01.jpg
51,3,Kevin Willis,29,ATL,12.0,12.0,96,0.125,81,36.6,18.3,15.5,2.1,0.9,0.7,.483,.162,.804,8.8,.143,1992,https://www.basketball-reference.com//players/w/willike02.html,https://www.basketball-reference.com/req/202106291/images/players/willike02.jpg
52,4T,Glen Rice,24,MIA,4.0,4.0,96,0.042,79,38.1,22.3,5.0,2.3,1.1,0.4,.469,.391,.836,7.9,.126,1992,https://www.basketball-reference.com//players/r/ricegl01.html,https://www.basketball-reference.com/req/202106291/images/players/ricegl01.jpg
53,4T,Reggie Williams,27,DEN,4.0,4.0,96,0.042,81,32.4,18.2,5.0,2.9,1.8,0.8,.471,.359,.803,6.6,.121,1992,https://www.basketball-reference.com//players/w/willire01.html,https://www.basketball-reference.com/req/202106291/images/players/willire01.jpg
54,6T,Tim Perry,26,PHO,3.0,3.0,96,0.031,80,31.0,12.3,6.9,1.7,0.6,1.5,.523,.375,.712,5.7,.110,1992,https://www.basketball-reference.com//players/p/perryti01.html,https://www.basketball-reference.com/req/202106291/images/players/perryti01.jpg
55,6T,John Starks,26,NYK,3.0,3.0,96,0.031,82,25.8,13.9,2.3,3.4,1.3,0.2,.449,.348,.778,6.4,.146,1992,https://www.basketball-reference.com//players/s/starkjo01.html,https://www.basketball-reference.com/req/202106291/images/players/starkjo01.jpg
56,8T,Kendall Gill,23,CHH,2.0,2.0,96,0.021,79,36.8,20.5,5.1,4.2,1.9,0.6,.467,.240,.745,4.7,.077,1992,https://www.basketball-reference.com//players/g/gillke01.html,https://www.basketball-reference.com/req/202106291/images/players/gillke01.jpg
57,8T,Grant Long,25,MIA,2.0,2.0,96,0.021,82,37.4,14.8,8.4,2.7,1.7,0.5,.494,.273,.807,7.7,.120,1992,https://www.basketball-reference.com//players/l/longgr01.html,https://www.basketball-reference.com/req/202106291/images/players/longgr01.jpg
58,8T,Šarūnas Marčiulionis,27,GSW,2.0,2.0,96,0.021,72,29.4,18.9,2.9,3.4,1.6,0.1,.538,.300,.788,6.4,.144,1992,https://www.basketball-reference.com//players/m/marcisa01.html,https://www.basketball-reference.com/req/202106291/images/players/marcisa01.jpg
59,11T,Mookie Blaylock,24,NJN,1.0,1.0,96,0.010,72,35.4,13.8,3.7,6.8,2.4,0.6,.432,.222,.712,4.9,.092,1992,https://www.basketball-reference.com//players/b/blaylmo01.html,https://www.basketball-reference.com/req/202106291/images/players/blaylmo01.jpg
60,11T,Micheal Williams,25,IND,1.0,1.0,96,0.010,79,34.8,15.0,3.6,8.2,2.9,0.3,.490,.242,.871,9.0,.156,1992,https://www.basketball-reference.com//players/w/willimi02.html,https://www.basketball-reference.com/req/202106291/images/players/willimi02.jpg
61,1,Mahmoud Abdul-Rauf,23,DEN,25.0,25.0,98,0.255,81,33.5,19.2,2.8,4.2,1.0,0.1,.450,.355,.935,5.1,.091,1993,https://www.basketball-reference.com//players/a/abdulma02.html,https://www.basketball-reference.com/req/202106291/images/players/abdulma02.jpg
62,2,Eric Murdock,24,MIL,14.0,14.0,98,0.143,79,30.8,14.4,3.6,7.6,2.2,0.1,.468,.261,.780,6.1,.121,1993,https://www.basketball-reference.com//players/m/murdoer01.html,https://www.basketball-reference.com/req/202106291/images/players/murdoer01.jpg
63,3,Kenny Anderson,22,NJN,13.0,13.0,98,0.133,55,36.5,16.9,4.1,8.2,1.7,0.2,.435,.280,.776,4.4,.106,1993,https://www.basketball-reference.com//players/a/anderke01.html,https://www.basketball-reference.com/req/202106291/images/players/anderke01.jpg
64,4,John Starks,27,NYK,11.0,11.0,98,0.112,80,31.0,17.5,2.6,5.1,1.1,0.2,.428,.321,.795,7.5,.145,1993,https://www.basketball-reference.com//players/s/starkjo01.html,https://www.basketball-reference.com/req/202106291/images/players/starkjo01.jpg
65,5,Clifford Robinson,26,POR,9.0,9.0,98,0.092,82,31.4,19.1,6.6,2.2,1.2,2.0,.473,.247,.690,6.8,.127,1993,https://www.basketball-reference.com//players/r/robincl02.html,https://www.basketball-reference.com/req/202106291/images/players/robincl02.jpg
66,6,Gary Payton,24,SEA,8.0,8.0,98,0.082,82,31.1,13.5,3.4,4.9,2.2,0.3,.494,.206,.770,7.8,.147,1993,https://www.basketball-reference.com//players/p/paytoga01.html,https://www.basketball-reference.com/req/202106291/images/players/paytoga01.jpg
67,8,Derrick Coleman,25,NJN,3.0,3.0,98,0.031,76,36.3,20.7,11.2,3.6,1.2,1.7,.460,.232,.808,9.5,.165,1993,https://www.basketball-reference.com//players/c/colemde01.html,https://www.basketball-reference.com/req/202106291/images/players/colemde01.jpg
68,9T,Blue Edwards,27,MIL,2.0,2.0,98,0.020,82,33.3,16.9,4.7,2.6,1.6,0.5,.512,.349,.790,5.7,.101,1993,https://www.basketball-reference.com//players/e/edwarbl01.html,https://www.basketball-reference.com/req/202106291/images/players/edwarbl01.jpg
69,9T,Doug West,25,MIN,2.0,2.0,98,0.020,80,38.8,19.3,3.1,2.9,1.1,0.3,.517,.087,.841,4.3,.066,1993,https://www.basketball-reference.com//players/w/westdo01.html,https://www.basketball-reference.com/req/202106291/images/players/westdo01.jpg
70,11T,Alaa Abdelnaby,24,TOT,1.0,1.0,98,0.010,75,17.5,7.7,4.5,0.4,0.3,0.3,.518,.000,.759,2.0,.074,1993,https://www.basketball-reference.com//players/a/abdelal01.html,https://www.basketball-reference.com/req/202106291/images/players/abdelal01.jpg
71,11T,Mookie Blaylock,25,ATL,1.0,1.0,98,0.010,80,35.3,13.4,3.5,8.4,2.5,0.3,.429,.375,.728,7.0,.119,1993,https://www.basketball-reference.com//players/b/blaylmo01.html,https://www.basketball-reference.com/req/202106291/images/players/blaylmo01.jpg
72,11T,Cedric Ceballos,23,PHO,1.0,1.0,98,0.010,74,21.7,12.8,5.5,1.0,0.7,0.4,.576,.000,.725,6.2,.186,1993,https://www.basketball-reference.com//players/c/cebalce01.html,https://www.basketball-reference.com/req/202106291/images/players/cebalce01.jpg
73,11T,Shawn Kemp,23,SEA,1.0,1.0,98,0.010,78,33.1,17.8,10.7,2.0,1.5,1.9,.492,.000,.712,9.1,.169,1993,https://www.basketball-reference.com//players/k/kempsh01.html,https://www.basketball-reference.com/req/202106291/images/players/kempsh01.jpg
74,11T,Terry Mills,25,DET,1.0,1.0,98,0.010,81,27.0,14.8,5.8,1.4,0.5,0.6,.461,.278,.791,3.8,.084,1993,https://www.basketball-reference.com//players/m/millste01.html,https://www.basketball-reference.com/req/202106291/images/players/millste01.jpg
75,11T,Dražen Petrović,28,NJN,1.0,1.0,98,0.010,70,38.0,22.3,2.7,3.5,1.3,0.2,.518,.449,.870,8.4,.152,1993,https://www.basketball-reference.com//players/p/petrodr01.html,https://www.basketball-reference.com/req/202106291/images/players/petrodr01.jpg
76,1,Don MacLean,24,WSB,55.0,55.0,101,0.545,75,33.2,18.2,6.2,2.1,0.6,0.3,.502,.143,.824,5.6,.108,1994,https://www.basketball-reference.com//players/m/macledo01.html,https://www.basketball-reference.com/req/202106291/images/players/macledo01.jpg
77,2,Latrell Sprewell,23,GSW,29.0,29.0,101,0.287,82,43.1,21.0,4.9,4.7,2.2,0.9,.433,.361,.774,8.0,.108,1994,https://www.basketball-reference.com//players/s/sprewla01.html,https://www.basketball-reference.com/req/202106291/images/players/sprewla01.jpg
78,3,Gary Payton,25,SEA,5.0,5.0,101,0.050,82,35.1,16.5,3.3,6.0,2.3,0.2,.504,.278,.595,9.3,.155,1994,https://www.basketball-reference.com//players/p/paytoga01.html,https://www.basketball-reference.com/req/202106291/images/players/paytoga01.jpg
79,4T,Mookie Blaylock,26,ATL,2.0,2.0,101,0.020,81,36.0,13.8,5.2,9.7,2.6,0.5,.411,.334,.730,10.2,.168,1994,https://www.basketball-reference.com//players/b/blaylmo01.html,https://www.basketball-reference.com/req/202106291/images/players/blaylmo01.jpg
80,4T,Dale Davis,24,IND,2.0,2.0,101,0.020,66,34.7,11.7,10.9,1.5,0.7,1.6,.529,.000,.527,7.0,.147,1994,https://www.basketball-reference.com//players/d/davisda01.html,https://www.basketball-reference.com/req/202106291/images/players/davisda01.jpg
81,4T,Rod Strickland,27,POR,2.0,2.0,101,0.020,82,35.2,17.2,4.5,9.0,1.8,0.3,.483,.200,.749,9.3,.155,1994,https://www.basketball-reference.com//players/s/stricro02.html,https://www.basketball-reference.com/req/202106291/images/players/stricro02.jpg
82,7T,Vincent Askew,27,SEA,1.0,1.0,101,0.010,80,21.1,9.1,2.3,2.4,0.9,0.2,.481,.194,.829,6.0,.169,1994,https://www.basketball-reference.com//players/a/askewvi01.html,https://www.basketball-reference.com/req/202106291/images/players/askewvi01.jpg
83,7T,Dana Barros,26,PHI,1.0,1.0,101,0.010,81,31.1,13.3,2.4,5.2,1.3,0.1,.469,.381,.800,4.7,.089,1994,https://www.basketball-reference.com//players/b/barroda01.html,https://www.basketball-reference.com/req/202106291/images/players/barroda01.jpg
84,7T,Rex Chapman,26,WSB,1.0,1.0,101,0.010,60,33.8,18.2,2.4,3.1,1.0,0.1,.498,.388,.816,3.9,.092,1994,https://www.basketball-reference.com//players/c/chapmre01.html,https://www.basketball-reference.com/req/202106291/images/players/chapmre01.jpg
85,7T,Bison Dele,24,DEN,1.0,1.0,101,0.010,80,18.8,8.0,5.6,0.6,0.6,1.1,.541,.000,.649,4.7,.151,1994,https://www.basketball-reference.com//players/d/delebi01.html,https://www.basketball-reference.com/req/202106291/images/players/delebi01.jpg
86,7T,Pete Myers,30,CHI,1.0,1.0,101,0.010,82,24.8,7.9,2.2,3.0,1.0,0.2,.455,.276,.701,3.0,.072,1994,https://www.basketball-reference.com//players/m/myerspe01.html,https://www.basketball-reference.com/req/202106291/images/players/myerspe01.jpg
87,7T,Olden Polynice,29,TOT,1.0,1.0,101,0.010,68,35.3,11.6,11.9,0.6,0.6,1.0,.523,.000,.508,5.1,.102,1994,https://www.basketball-reference.com//players/p/polynol01.html,https://www.basketball-reference.com/req/202106291/images/players/polynol01.jpg
88,1,Dana Barros,27,PHI,50.0,50.0,105,0.476,82,40.5,20.6,3.3,7.5,1.8,0.0,.490,.464,.899,12.7,.183,1995,https://www.basketball-reference.com//players/b/barroda01.html,https://www.basketball-reference.com/req/202106291/images/players/barroda01.jpg
89,2,Elliot Perry,25,PHO,15.0,15.0,105,0.143,82,24.1,9.7,1.8,4.8,1.9,0.0,.520,.417,.810,5.2,.126,1995,https://www.basketball-reference.com//players/p/perryel01.html,https://www.basketball-reference.com/req/202106291/images/players/perryel01.jpg
90,3T,Scott Burrell,24,CHH,8.0,8.0,105,0.076,65,31.0,11.5,5.7,2.5,1.2,0.6,.467,.409,.694,5.6,.135,1995,https://www.basketball-reference.com//players/b/burresc01.html,https://www.basketball-reference.com/req/202106291/images/players/burresc01.jpg
91,3T,Gheorghe Mureșan,23,WSB,8.0,8.0,105,0.076,73,23.6,10.0,6.7,0.5,0.7,1.7,.560,NO DATA,.709,4.1,.116,1995,https://www.basketball-reference.com//players/m/muresgh01.html,https://www.basketball-reference.com/req/202106291/images/players/muresgh01.jpg
92,5,Allan Houston,23,DET,6.0,6.0,105,0.057,76,26.3,14.5,2.2,2.2,0.8,0.2,.463,.424,.860,3.8,.091,1995,https://www.basketball-reference.com//players/h/houstal01.html,https://www.basketball-reference.com/req/202106291/images/players/houstal01.jpg
93,6,Avery Johnson,29,SAS,4.0,4.0,105,0.038,82,36.7,13.4,2.5,8.2,1.4,0.2,.519,.136,.685,8.0,.128,1995,https://www.basketball-reference.com//players/j/johnsav01.html,https://www.basketball-reference.com/req/202106291/images/players/johnsav01.jpg
94,7T,Tyrone Hill,26,CLE,3.0,3.0,105,0.029,70,34.2,13.8,10.9,0.8,0.8,0.6,.504,.000,.662,6.9,.138,1995,https://www.basketball-reference.com//players/h/hillty01.html,https://www.basketball-reference.com/req/202106291/images/players/hillty01.jpg
95,7T,Popeye Jones,24,DAL,3.0,3.0,105,0.029,80,29.8,10.3,10.6,2.0,0.4,0.3,.443,.083,.645,3.6,.073,1995,https://www.basketball-reference.com//players/j/jonespo01.html,https://www.basketball-reference.com/req/202106291/images/players/jonespo01.jpg
96,9T,Cedric Ceballos,25,LAL,1.0,1.0,105,0.010,58,35.0,21.7,8.0,1.8,1.0,0.3,.509,.397,.716,5.2,.123,1995,https://www.basketball-reference.com//players/c/cebalce01.html,https://www.basketball-reference.com/req/202106291/images/players/cebalce01.jpg
97,9T,Vlade Divac,26,LAL,1.0,1.0,105,0.010,80,35.1,16.0,10.4,4.1,1.4,2.2,.507,.189,.777,9.5,.162,1995,https://www.basketball-reference.com//players/d/divacvl01.html,https://www.basketball-reference.com/req/202106291/images/players/divacvl01.jpg
98,9T,Chris Gatling,27,GSW,1.0,1.0,105,0.010,58,25.3,13.7,7.6,0.9,0.7,0.9,.633,.000,.592,3.9,.129,1995,https://www.basketball-reference.com//players/g/gatlich01.html,https://www.basketball-reference.com/req/202106291/images/players/gatlich01.jpg
99,9T,Jim Jackson,24,DAL,1.0,1.0,105,0.010,51,38.9,25.7,5.1,3.7,0.5,0.2,.472,.318,.805,4.9,.118,1995,https://www.basketball-reference.com//players/j/jacksji01.html,https://www.basketball-reference.com/req/202106291/images/players/jacksji01.jpg
100,9T,Rodney Rogers,23,DEN,1.0,1.0,105,0.010,80,26.8,12.2,4.8,2.0,1.2,0.6,.488,.338,.651,3.9,.088,1995,https://www.basketball-reference.com//players/r/rogerro01.html,https://www.basketball-reference.com/req/202106291/images/players/rogerro01.jpg
101,9T,Rik Smits,28,IND,1.0,1.0,105,0.010,78,30.5,17.9,7.7,1.4,0.5,1.0,.526,.000,.753,7.2,.146,1995,https://www.basketball-reference.com//players/s/smitsri01.html,https://www.basketball-reference.com/req/202106291/images/players/smitsri01.jpg
