,rank,player,age,team_id,votes_first,points_won,points_max,award_share,g,mp_per_g,pts_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,fg_pct,fg3_pct,ft_pct,ws,ws_per_48,year,player_url,player_img
429,1,Jordan Clarkson,28,UTA,65.0,407.0,500,0.814,68,26.7,18.4,4.0,2.5,0.9,0.1,.425,.347,.896,4.2,.111,2021,https://www.basketball-reference.com//players/c/clarkjo01.html,https://www.basketball-reference.com/req/202106291/images/players/clarkjo01.jpg
430,2,Joe Ingles,33,UTA,34.0,272.0,500,0.544,67,27.9,12.1,3.6,4.7,0.7,0.2,.489,.451,.844,7.0,.180,2021,https://www.basketball-reference.com//players/i/inglejo01.html,https://www.basketball-reference.com/req/202106291/images/players/inglejo01.jpg
431,3,Derrick Rose,32,TOT,1.0,77.0,500,0.154,50,25.6,14.7,2.6,4.2,1.0,0.4,.470,.388,.866,3.1,.118,2021,https://www.basketball-reference.com//players/r/rosede01.html,https://www.basketball-reference.com/req/202106291/images/players/rosede01.jpg
432,4,Jalen Brunson,24,DAL,0.0,67.0,500,0.134,68,25.0,12.6,3.4,3.5,0.5,0.0,.523,.405,.795,5.1,.143,2021,https://www.basketball-reference.com//players/b/brunsja01.html,https://www.basketball-reference.com/req/202106291/images/players/brunsja01.jpg
433,5,Tim Hardaway Jr.,28,DAL,0.0,24.0,500,0.048,70,28.4,16.6,3.3,1.8,0.4,0.2,.447,.391,.816,4.3,.105,2021,https://www.basketball-reference.com//players/h/hardati02.html,https://www.basketball-reference.com/req/202106291/images/players/hardati02.jpg
434,6,Montrezl Harrell,27,LAL,0.0,14.0,500,0.028,69,22.9,13.5,6.2,1.1,0.7,0.7,.622,.000,.707,7.3,.221,2021,https://www.basketball-reference.com//players/h/harremo01.html,https://www.basketball-reference.com/req/202106291/images/players/harremo01.jpg
435,7,Carmelo Anthony,36,POR,0.0,8.0,500,0.016,69,24.5,13.4,3.1,1.5,0.7,0.6,.421,.409,.890,2.6,.073,2021,https://www.basketball-reference.com//players/a/anthoca01.html,https://www.basketball-reference.com/req/202106291/images/players/anthoca01.jpg
436,8,Chris Boucher,28,TOR,0.0,7.0,500,0.014,60,24.2,13.6,6.7,1.1,0.6,1.9,.514,.383,.788,6.1,.201,2021,https://www.basketball-reference.com//players/b/bouchch01.html,https://www.basketball-reference.com/req/202106291/images/players/bouchch01.jpg
437,9,Bobby Portis,25,MIL,0.0,6.0,500,0.012,66,20.8,11.4,7.1,1.1,0.8,0.4,.523,.471,.740,4.8,.167,2021,https://www.basketball-reference.com//players/p/portibo01.html,https://www.basketball-reference.com/req/202106291/images/players/portibo01.jpg
438,10,Enes Freedom,28,POR,0.0,5.0,500,0.010,72,24.4,11.2,11.0,1.2,0.5,0.7,.604,.250,.774,7.5,.204,2021,https://www.basketball-reference.com//players/k/kanteen01.html,https://www.basketball-reference.com/req/202106291/images/players/kanteen01.jpg
439,11,T.J. McConnell,28,IND,0.0,4.0,500,0.008,69,26.0,8.6,3.7,6.6,1.9,0.3,.559,.313,.688,4.8,.128,2021,https://www.basketball-reference.com//players/m/mccontj01.html,https://www.basketball-reference.com/req/202106291/images/players/mccontj01.jpg
440,12T,Miles Bridges,22,CHO,0.0,3.0,500,0.006,66,29.3,12.7,6.0,2.2,0.7,0.8,.503,.400,.867,4.2,.105,2021,https://www.basketball-reference.com//players/b/bridgmi02.html,https://www.basketball-reference.com/req/202106291/images/players/bridgmi02.jpg
441,12T,Shake Milton,24,PHI,0.0,3.0,500,0.006,63,23.2,13.0,2.3,3.1,0.6,0.3,.450,.350,.830,2.8,.091,2021,https://www.basketball-reference.com//players/m/miltosh01.html,https://www.basketball-reference.com/req/202106291/images/players/miltosh01.jpg
442,14,Thaddeus Young,32,CHI,0.0,2.0,500,0.004,68,24.3,12.1,6.2,4.3,1.1,0.6,.559,.267,.628,5.1,.147,2021,https://www.basketball-reference.com//players/y/youngth01.html,https://www.basketball-reference.com/req/202106291/images/players/youngth01.jpg
443,15,Facundo Campazzo,29,DEN,0.0,1.0,500,0.002,65,21.9,6.1,2.1,3.6,1.2,0.2,.381,.352,.879,3.1,.105,2021,https://www.basketball-reference.com//players/c/campafa01.html,https://www.basketball-reference.com/req/202106291/images/players/campafa01.jpg
